"Module","Lesson","Content"
"Week 3: Caring, Comfort, Safety, Advocacy, and Healing","[PN102 2026] Quiz 3 - Chapter 3","<h2>Chapter 3 Quiz</h2>
<p><strong>Due:</strong> Jul 21, 2026 by 11:59 PM. <strong>Points:</strong> 10.</p>
<div class=""quiz-instructions"">
<h3>Instructions before you begin</h3>
<ul><li>Review the chapter lesson and PowerPoint before opening the quiz.</li><li>This quiz contains multiple-choice questions only.</li><li>Choose the best answer for each question.</li><li>Submit the quiz before the due date listed above.</li><li>Contact your instructor before the deadline if you have a technical issue.</li></ul>
<button type=""button"" class=""quiz-start-button"">Start Quiz</button>
</div>
<h3>Questions</h3>

          <section class=""quiz-question"">
            <h4>1. Which action best demonstrates caring in nursing?</h4>
            <ol type=""A"">
              <li>Respect, comfort, listening, and protecting dignity.</li><li>Completing tasks without speaking to the patient.</li><li>Ignoring emotional needs.</li><li>Using medical words the patient does not understand.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>2. A patient is anxious and asks what will happen next. What is the best student response?</h4>
            <ol type=""A"">
              <li>Tell the patient not to worry and leave.</li><li>Use calm communication and explain what you are allowed to explain.</li><li>Tell the patient to ask another student.</li><li>Ignore the question because it is not physical care.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>3. Which example shows patient advocacy?</h4>
            <ol type=""A"">
              <li>Reporting a patient concern promptly to the instructor or nurse.</li><li>Keeping concerns private to avoid bothering staff.</li><li>Changing a care plan alone.</li><li>Promising a result the student cannot control.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>4. Which is an appropriate basic comfort measure?</h4>
            <ol type=""A"">
              <li>Repositioning, privacy, and reporting pain concerns.</li><li>Ignoring pain because medication is not due.</li><li>Discussing another patient's condition.</li><li>Removing safety equipment without permission.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>5. Whole-person care means the nurse considers which needs?</h4>
            <ol type=""A"">
              <li>Only the diagnosis.</li><li>Physical, emotional, cultural, safety, and learning needs.</li><li>Only the vital signs.</li><li>Only the tasks assigned on the checklist.</li>
            </ol>
          </section>"
"Week 4: Health Care Team, Scope, Delegation, Collaboration, and Communication","[PN102 2026] Chapter 4: Health Care Team, Scope, Delegation, Collaboration, and Communication","<h2>Chapter 4: Health Care Team, Scope, Delegation, Collaboration, and Communication</h2>
<p>Students learn how practical nurses communicate within the health care team, recognize scope limits, and participate in safe delegation and collaboration.</p>
<h3>Required reading</h3>
<p>Read Chapter 4 and focus on the health care team, SBAR, delegation principles, scope of practice, supervision, and conflict prevention.</p>
<h3>Learning objectives</h3>
<ul><li>Identify members of the health care team and describe the practical nurse's contribution.</li><li>Use SBAR to organize basic patient information.</li><li>Explain the difference between assignment, delegation, and supervision.</li><li>Recognize when a task or decision is outside practical nursing student scope.</li></ul>
<h3>Key topics</h3>
<ul><li>Health care team roles</li><li>SBAR communication</li><li>Scope of practice</li><li>Delegation and supervision</li><li>Closed-loop communication</li></ul>
<h3>Learning activities</h3>
<ul><li>Write an SBAR report from a short patient scenario.</li><li>Sort example tasks into appropriate, ask first, or not appropriate for a student.</li><li>Practice closed-loop communication for a patient safety concern.</li></ul>
<h3>Before moving on</h3>
<p>Review your chapter notes, complete the PowerPoint review, and take the weekly quiz. Bring questions to the instructor before the next course meeting.</p>"
"Week 4: Health Care Team, Scope, Delegation, Collaboration, and Communication","[PN102 2026] Chapter 4 PowerPoint Review","<h2>Chapter 4 PowerPoint Review</h2>
<p>This item represents the weekly PowerPoint that should be uploaded or attached for instructor/student use.</p>
<p><strong>File name:</strong> PN102_Ch04_Health_Care_Team_Scope_Delegation_and_Communication.pptx</p>
<h3>Slide outline</h3>
<ul><li>The health care team</li><li>Practical nurse collaboration</li><li>SBAR report structure</li><li>Delegation safety</li><li>Scope and supervision</li></ul>
<p>Instructor note: keep the PowerPoint aligned with Chapter 4, then attach the actual slide file when available.</p>"
"Week 4: Health Care Team, Scope, Delegation, Collaboration, and Communication","[PN102 2026] Quiz 4 - Chapter 4","<h2>Chapter 4 Quiz</h2>
<p><strong>Due:</strong> Jul 28, 2026 by 11:59 PM. <strong>Points:</strong> 10.</p>
<div class=""quiz-instructions"">
<h3>Instructions before you begin</h3>
<ul><li>Review the chapter lesson and PowerPoint before opening the quiz.</li><li>This quiz contains multiple-choice questions only.</li><li>Choose the best answer for each question.</li><li>Submit the quiz before the due date listed above.</li><li>Contact your instructor before the deadline if you have a technical issue.</li></ul>
<button type=""button"" class=""quiz-start-button"">Start Quiz</button>
</div>
<h3>Questions</h3>

          <section class=""quiz-question"">
            <h4>1. What is the purpose of SBAR?</h4>
            <ol type=""A"">
              <li>To organize important patient information clearly.</li><li>To replace documentation.</li><li>To avoid speaking with the nurse.</li><li>To decide medication orders.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>2. Safe delegation includes which principle?</h4>
            <ol type=""A"">
              <li>Appropriate task, competent person, clear direction, and supervision.</li><li>Giving any task to anyone available.</li><li>Avoiding follow-up.</li><li>Delegating tasks outside legal scope.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>3. Why is scope of practice important?</h4>
            <ol type=""A"">
              <li>It protects the patient, nurse, student, and facility.</li><li>It allows students to do any task.</li><li>It only applies after graduation.</li><li>It removes the need for supervision.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>4. Closed-loop communication means the receiver should:</h4>
            <ol type=""A"">
              <li>Repeat back and confirm the message.</li><li>Ignore unclear instructions.</li><li>Assume the sender knows the task is done.</li><li>Avoid asking questions.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>5. How does a practical nurse collaborate with an RN?</h4>
            <ol type=""A"">
              <li>By reporting patient changes and completing assigned care within scope.</li><li>By independently changing the medical plan.</li><li>By diagnosing the patient.</li><li>By avoiding communication during busy shifts.</li>
            </ol>
          </section>"
"Week 5: Ethics in Nursing, Boundaries, Confidentiality, and Patient Rights","[PN102 2026] Chapter 5: Ethics in Nursing, Boundaries, Confidentiality, and Patient Rights","<h2>Chapter 5: Ethics in Nursing, Boundaries, Confidentiality, and Patient Rights</h2>
<p>Students apply ethical decision-making to confidentiality, professional boundaries, patient rights, privacy, and respectful care.</p>
<h3>Required reading</h3>
<p>Read Chapter 5 and highlight examples of ethical conduct, confidentiality, informed consent, patient rights, boundaries, and social media risks.</p>
<h3>Learning objectives</h3>
<ul><li>Define confidentiality and explain why it is required in all care settings.</li><li>Identify professional boundary concerns and appropriate responses.</li><li>Describe basic patient rights related to dignity, privacy, information, and choice.</li><li>Apply ethical thinking to common beginning nursing scenarios.</li></ul>
<h3>Key topics</h3>
<ul><li>Ethical principles</li><li>Confidentiality and privacy</li><li>Patient rights</li><li>Professional boundaries</li><li>Social media and patient information</li></ul>
<h3>Learning activities</h3>
<ul><li>Review confidentiality scenarios and choose the safest response.</li><li>Identify boundary crossings in short examples.</li><li>Write an ethical response to a patient rights concern.</li></ul>
<h3>Before moving on</h3>
<p>Review your chapter notes, complete the PowerPoint review, and take the weekly quiz. Bring questions to the instructor before the next course meeting.</p>"
"Week 5: Ethics in Nursing, Boundaries, Confidentiality, and Patient Rights","[PN102 2026] Chapter 5 PowerPoint Review","<h2>Chapter 5 PowerPoint Review</h2>
<p>This item represents the weekly PowerPoint that should be uploaded or attached for instructor/student use.</p>
<p><strong>File name:</strong> PN102_Ch05_Ethics_Boundaries_Confidentiality_and_Patient_Rights.pptx</p>
<h3>Slide outline</h3>
<ul><li>Ethics in practical nursing</li><li>Patient rights</li><li>Confidentiality</li><li>Professional boundaries</li><li>Social media safety</li></ul>
<p>Instructor note: keep the PowerPoint aligned with Chapter 5, then attach the actual slide file when available.</p>"
"Week 5: Ethics in Nursing, Boundaries, Confidentiality, and Patient Rights","[PN102 2026] Quiz 5 - Chapter 5","<h2>Chapter 5 Quiz</h2>
<p><strong>Due:</strong> Aug 4, 2026 by 11:59 PM. <strong>Points:</strong> 10.</p>
<div class=""quiz-instructions"">
<h3>Instructions before you begin</h3>
<ul><li>Review the chapter lesson and PowerPoint before opening the quiz.</li><li>This quiz contains multiple-choice questions only.</li><li>Choose the best answer for each question.</li><li>Submit the quiz before the due date listed above.</li><li>Contact your instructor before the deadline if you have a technical issue.</li></ul>
<button type=""button"" class=""quiz-start-button"">Start Quiz</button>
</div>
<h3>Questions</h3>

          <section class=""quiz-question"">
            <h4>1. What does confidentiality require?</h4>
            <ol type=""A"">
              <li>Sharing only with authorized people for patient care.</li><li>Discussing patient stories without names.</li><li>Posting patient situations online if no photo is used.</li><li>Telling family members anything they request.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>2. Which social media action is safest?</h4>
            <ol type=""A"">
              <li>Never post patient information, images, or care details.</li><li>Post only if the patient's name is removed.</li><li>Post if the patient is interesting.</li><li>Post if the account is private.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>3. Patient autonomy means the patient has the right to:</h4>
            <ol type=""A"">
              <li>Make informed choices about care when able.</li><li>Control every staff assignment.</li><li>Ignore all safety rules.</li><li>Receive only the care family members choose.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>4. Which situation may be a professional boundary concern?</h4>
            <ol type=""A"">
              <li>Accepting expensive personal gifts from a patient.</li><li>Introducing yourself before care.</li><li>Explaining what you are doing.</li><li>Reporting patient pain.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>5. If a student sees unsafe or unethical care, the best action is to:</h4>
            <ol type=""A"">
              <li>Stop, protect the patient if needed, report to the instructor or nurse, and follow policy.</li><li>Ignore it to avoid conflict.</li><li>Post online for advice.</li><li>Confront the patient.</li>
            </ol>
          </section>"
"Week 6: Legal Foundations, Scope of Practice, Documentation, Privacy, and Accountability","[PN102 2026] Chapter 6: Legal Foundations, Scope of Practice, Documentation, Privacy, and Accountability","<h2>Chapter 6: Legal Foundations, Scope of Practice, Documentation, Privacy, and Accountability</h2>
<p>Students connect legal foundations to daily practical nursing responsibilities, including privacy, documentation, incident reporting, and accountability.</p>
<h3>Required reading</h3>
<p>Read Chapter 6 and review scope of practice, nurse practice acts, documentation standards, HIPAA, negligence, incident reporting, and accountability.</p>
<h3>Learning objectives</h3>
<ul><li>Identify legal sources that guide practical nursing practice.</li><li>Describe accurate, timely, objective, and complete documentation.</li><li>Explain privacy requirements and basic HIPAA responsibilities.</li><li>Recognize accountability in reporting, documentation, and safe care.</li></ul>
<h3>Key topics</h3>
<ul><li>Nurse practice act and rules</li><li>Documentation principles</li><li>HIPAA and privacy</li><li>Negligence and accountability</li><li>Incident reporting</li></ul>
<h3>Learning activities</h3>
<ul><li>Convert subjective statements into objective documentation.</li><li>Identify protected health information in examples.</li><li>Practice reporting a change in patient condition using SBAR.</li></ul>
<h3>Before moving on</h3>
<p>Review your chapter notes, complete the PowerPoint review, and take the weekly quiz. Bring questions to the instructor before the next course meeting.</p>"
"Week 6: Legal Foundations, Scope of Practice, Documentation, Privacy, and Accountability","[PN102 2026] Chapter 6 PowerPoint Review","<h2>Chapter 6 PowerPoint Review</h2>
<p>This item represents the weekly PowerPoint that should be uploaded or attached for instructor/student use.</p>
<p><strong>File name:</strong> PN102_Ch06_Legal_Foundations_Scope_Documentation_and_Accountability.pptx</p>
<h3>Slide outline</h3>
<ul><li>Legal foundations of practical nursing</li><li>Documentation standards</li><li>Privacy and HIPAA</li><li>Negligence prevention</li><li>Accountability and incident reporting</li></ul>
<p>Instructor note: keep the PowerPoint aligned with Chapter 6, then attach the actual slide file when available.</p>"
"Week 6: Legal Foundations, Scope of Practice, Documentation, Privacy, and Accountability","[PN102 2026] Quiz 6 - Chapter 6","<h2>Chapter 6 Quiz</h2>
<p><strong>Due:</strong> Aug 11, 2026 by 11:59 PM. <strong>Points:</strong> 10.</p>
<div class=""quiz-instructions"">
<h3>Instructions before you begin</h3>
<ul><li>Review the chapter lesson and PowerPoint before opening the quiz.</li><li>This quiz contains multiple-choice questions only.</li><li>Choose the best answer for each question.</li><li>Submit the quiz before the due date listed above.</li><li>Contact your instructor before the deadline if you have a technical issue.</li></ul>
<button type=""button"" class=""quiz-start-button"">Start Quiz</button>
</div>
<h3>Questions</h3>

          <section class=""quiz-question"">
            <h4>1. Good nursing documentation should be:</h4>
            <ol type=""A"">
              <li>Timely, factual, objective, and complete.</li><li>Based on opinions and memory only.</li><li>Entered at the end of the month.</li><li>Written only when something goes wrong.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>2. HIPAA protects:</h4>
            <ol type=""A"">
              <li>Protected health information.</li><li>Only staff schedules.</li><li>Only supply lists.</li><li>Only public health flyers.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>3. Which action could be considered negligent?</h4>
            <ol type=""A"">
              <li>Failing to report a serious change in patient condition.</li><li>Asking the instructor before an unfamiliar task.</li><li>Documenting objective facts.</li><li>Following facility policy.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>4. Scope of practice is guided by:</h4>
            <ol type=""A"">
              <li>The nurse practice act, board rules, school policy, and facility policy.</li><li>Classmate opinion.</li><li>Social media examples.</li><li>Only personal preference.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>5. The purpose of an incident report is to:</h4>
            <ol type=""A"">
              <li>Document facts for safety review and follow-up.</li><li>Blame one person publicly.</li><li>Replace the medical record.</li><li>Avoid telling the instructor.</li>
            </ol>
          </section>"
