"Module","Lesson","Content"
"Week 3: Safety, Falls, Restraint Alternatives, Infection Prevention, and Safe Mobility","[PN103 2026] Week 3 Discussion: Preventing Harm Before It Happens","Canvas item type: Discussion.

Prompt: Choose one preventable harm in long-term care, such as a fall, infection, unsafe transfer, or restraint-related injury. Explain what the nurse should observe, do, report, and document.

Due: 2026-07-12 at 11:59 PM."
"Week 3: Safety, Falls, Restraint Alternatives, Infection Prevention, and Safe Mobility","[PN103 2026] Safety and Infection Prevention Room Audit","Canvas item type: Assignment.

Complete a case-based room safety audit. Identify fall risks, infection risks, transfer concerns, restraint-alternative options, and priority reporting needs.

Due: 2026-07-12 at 11:59 PM."
"Week 4: Resident Unit, Bedmaking, Hygiene, Grooming, Nutrition, Fluids, and Supportive Care","Weekly Overview and Selected Reading","Resident room safety and comfort, bedmaking, bathing, oral care, grooming, nutrition, hydration, feeding assistance, aspiration precautions, nutritional support, and IV therapy observation limits.

Reading: Selected readings from Chapters 16, 17, 18, 19, 20, and 21 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Describe care that maintains comfort, cleanliness, warmth, privacy, and resident choice.
- Identify nutrition, hydration, dysphagia, aspiration, intake/output, and feeding-assistance concerns.
- Explain what practical nurses must monitor and report related to nutritional support and IV therapy in long-term care."
"Week 4: Resident Unit, Bedmaking, Hygiene, Grooming, Nutrition, Fluids, and Supportive Care","[PN103 2026] Week 4 Discussion: Basic Care Is Skilled Care","Canvas item type: Discussion.

Prompt: Basic care can prevent serious complications. Choose hygiene, nutrition, hydration, or room comfort and explain how careful nursing care supports safety, dignity, and quality of life.

Due: 2026-07-19 at 11:59 PM."
"Week 4: Resident Unit, Bedmaking, Hygiene, Grooming, Nutrition, Fluids, and Supportive Care","[PN103 2026] ADL, Nutrition, and Hydration Care Plan","Canvas item type: Assignment.

Use a resident scenario to identify ADL needs, nutrition/hydration risks, safety precautions, observations to report, and resident-centered comfort measures.

Due: 2026-07-19 at 11:59 PM."
"Week 5: Elimination, Exercise, Activity, Comfort, Rest, Oxygen Needs, and Vital Signs","Weekly Overview and Selected Reading","Urinary and bowel elimination, continence support, exercise, activity, comfort, rest, sleep, oxygen needs, respiratory therapies, and vital-sign measurement.

Reading: Selected readings from Chapters 22, 23, 24, 25, 26, and 27 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Differentiate expected findings from changes in urinary, bowel, comfort, sleep, respiratory, and vital-sign status.
- Promote independence and safety during elimination, activity, oxygen use, and rest.
- Use timely reporting for abnormal findings and changes in condition."
"Week 5: Elimination, Exercise, Activity, Comfort, Rest, Oxygen Needs, and Vital Signs","[PN103 2026] Week 5 Discussion: Noticing Changes in Condition","Canvas item type: Discussion.

Prompt: Choose one change in condition related to elimination, breathing, pain, sleep, activity tolerance, or vital signs. Explain what you would notice, what questions you would ask, and what you would report.

Due: 2026-07-26 at 11:59 PM."
"Week 5: Elimination, Exercise, Activity, Comfort, Rest, Oxygen Needs, and Vital Signs","[PN103 2026] Elimination, Oxygen, and Vital Signs Case Worksheet","Canvas item type: Assignment.

Interpret a resident case with elimination changes, respiratory concerns, and vital-sign data. Identify priority findings, immediate nursing actions, and reporting language.

Due: 2026-07-26 at 11:59 PM."
"Week 6: Physical Examination Support, Specimens, Admissions, Transfers, Discharges, and Midterm Review","Weekly Overview and Selected Reading","Assisting with examinations, collecting and testing specimens within policy, admission routines, room transfers, discharges, continuity of care, documentation, and midterm synthesis.

Reading: Selected readings from Chapters 28, 29, and 30; review Chapters 1-27 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Prepare residents and the care environment for examinations and ordered specimen collection.
- Explain how admissions, transfers, and discharges affect safety, communication, and resident adjustment.
- Synthesize Weeks 1-6 concepts for the midterm assessment."
"Week 6: Physical Examination Support, Specimens, Admissions, Transfers, Discharges, and Midterm Review","[PN103 2026] Week 6 Discussion: Smooth Transitions of Care","Canvas item type: Discussion.

Prompt: Admissions, room transfers, and discharges can be stressful for residents. Explain one nursing action that can reduce confusion, protect safety, or improve continuity of care.

Due: 2026-08-02 at 11:59 PM."
"Week 6: Physical Examination Support, Specimens, Admissions, Transfers, Discharges, and Midterm Review","[PN103 2026] Midterm Exam - Long-Term Care Foundations and Daily Care","Canvas item type: Exam.

Midterm exam covering Weeks 1-6: resident rights, communication, safety, infection prevention, mobility, personal care, nutrition, elimination, comfort, oxygen needs, vital signs, specimens, and transitions.

Due: 2026-08-02 at 11:59 PM."
"Week 7: Wound Care, Pressure Injuries, Sensory Problems, Cancer, Immune, and Skin Disorders","Weekly Overview and Selected Reading","Wound observation, nonsterile dressing support within scope, pressure-injury risk, prevention, skin changes, sensory impairment, cancer, immune conditions, and skin disorders.

Reading: Selected readings from Chapters 31, 32, 33, and 34 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Recognize risk factors, warning signs, and prevention strategies for wounds and pressure injuries.
- Support residents with hearing, speech, vision, skin, immune, or cancer-related needs.
- Report skin changes and wound concerns promptly using objective language."
"Week 7: Wound Care, Pressure Injuries, Sensory Problems, Cancer, Immune, and Skin Disorders","[PN103 2026] Week 7 Discussion: Skin Integrity and Quality of Life","Canvas item type: Discussion.

Prompt: Pressure injury prevention is daily nursing work. Choose one prevention strategy and explain how it protects both physical safety and resident dignity.

Due: 2026-08-09 at 11:59 PM."
"Week 7: Wound Care, Pressure Injuries, Sensory Problems, Cancer, Immune, and Skin Disorders","[PN103 2026] Skin Integrity and Pressure Injury Prevention Map","Canvas item type: Assignment.

Create a prevention map for a high-risk resident. Include repositioning, skin inspection, nutrition/hydration, moisture, mobility, sensory needs, reporting, and documentation.

Due: 2026-08-09 at 11:59 PM."
"Week 8: Common Chronic Disorders Across Body Systems","Weekly Overview and Selected Reading","Nervous, musculoskeletal, cardiovascular, respiratory, digestive, endocrine, urinary, and reproductive disorders commonly affecting long-term care residents.

Reading: Selected readings from Chapters 35, 36, 37, and 38 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Identify common long-term care conditions and related nursing observations.
- Connect chronic disease changes with safety, mobility, nutrition, elimination, oxygenation, and comfort needs.
- Use priority reporting for symptoms suggesting decline or acute change."
"Week 8: Common Chronic Disorders Across Body Systems","[PN103 2026] Week 8 Discussion: Chronic Conditions and Daily Nursing Priorities","Canvas item type: Discussion.

Prompt: Choose one chronic condition common in long-term care. Explain what daily nursing observations matter most and how those observations can prevent complications.

Due: 2026-08-16 at 11:59 PM."
"Week 8: Common Chronic Disorders Across Body Systems","[PN103 2026] Chronic Disorder Nursing Priorities Case","Canvas item type: Assignment.

Analyze a resident with multiple chronic disorders. Identify three priority nursing concerns, what to monitor, when to report, and how to support independence.

Due: 2026-08-16 at 11:59 PM."
"Week 9: Mental Health, Confusion, Dementia, and Developmental Disabilities","Weekly Overview and Selected Reading","Mental health disorders, confusion, delirium, dementia, Alzheimer's disease, behavioral expressions, communication strategies, safety, developmental disabilities, and family support.

Reading: Selected readings from Chapters 39, 40, and 41 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Differentiate confusion, dementia-related changes, and urgent changes that require reporting.
- Use supportive communication for residents with dementia, mental health concerns, or developmental disabilities.
- Plan care that reduces distress, protects safety, and maintains dignity."
"Week 9: Mental Health, Confusion, Dementia, and Developmental Disabilities","[PN103 2026] Week 9 Discussion: Dementia Care With Dignity","Canvas item type: Discussion.

Prompt: Describe one communication or environmental strategy that can reduce distress for a resident with dementia. Explain why the strategy is respectful and safe.

Due: 2026-08-23 at 11:59 PM."
"Week 9: Mental Health, Confusion, Dementia, and Developmental Disabilities","[PN103 2026] Dementia and Mental Health Communication Plan","Canvas item type: Assignment.

Build a care communication plan for a resident with confusion, dementia, anxiety, or another mental health concern. Include triggers, calming approaches, safety concerns, and reporting.

Due: 2026-08-23 at 11:59 PM."
"Week 10: Rehabilitation, Restorative Nursing, Assisted Living, and Basic Emergency Care","Weekly Overview and Selected Reading","Restorative nursing, rehabilitation goals, functional independence, assisted living service plans, transfers/discharges from assisted living, basic emergency response, stroke, seizure, burns, hemorrhage, shock, and BLS awareness.

Reading: Selected readings from Chapters 42, 43, and 44 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Explain how restorative nursing supports independence and quality of life.
- Compare long-term care and assisted living care priorities.
- Recognize emergencies and describe immediate reporting and response expectations."
"Week 10: Rehabilitation, Restorative Nursing, Assisted Living, and Basic Emergency Care","[PN103 2026] Week 10 Discussion: Restorative Care and Emergency Readiness","Canvas item type: Discussion.

Prompt: Choose restorative care or emergency readiness. Explain one practical action the nurse can take that helps the resident remain safe, functional, and respected.

Due: 2026-08-30 at 11:59 PM."
"Week 10: Rehabilitation, Restorative Nursing, Assisted Living, and Basic Emergency Care","[PN103 2026] Restorative Nursing and Emergency Response Worksheet","Canvas item type: Assignment.

Complete scenarios involving restorative goals and emergency recognition. Identify safe first actions, who to notify, what to document, and how to support the resident afterward.

Due: 2026-08-30 at 11:59 PM."
"Week 11: End-of-Life Care, Family Support, Caregiver Wellness, and Comprehensive Review","Weekly Overview and Selected Reading","Terminal illness, comfort needs, family support, legal issues, signs of death, postmortem care awareness, grief, caregiver wellness, and final review.

Reading: Selected readings from Chapter 45; review Chapters 1-44 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Describe comfort-focused care and supportive communication at the end of life.
- Identify legal, cultural, family, privacy, and dignity considerations in end-of-life care.
- Review major course priorities before final assessment."
"Week 11: End-of-Life Care, Family Support, Caregiver Wellness, and Comprehensive Review","[PN103 2026] Week 11 Discussion: Comfort, Family, and Dignity at End of Life","Canvas item type: Discussion.

Prompt: End-of-life care requires skill and compassion. Describe one action that supports comfort or family presence while protecting dignity, privacy, and policy requirements.

Due: 2026-09-06 at 11:59 PM."
"Week 11: End-of-Life Care, Family Support, Caregiver Wellness, and Comprehensive Review","[PN103 2026] End-of-Life Comfort and Family Support Reflection","Canvas item type: Assignment.

Reflect on a case involving terminal illness. Identify comfort measures, family support, cultural considerations, reporting needs, and professional self-care.

Due: 2026-09-06 at 11:59 PM."
"Week 12: Final Synthesis: Safe, Respectful Long-Term Care Nursing","Weekly Overview and Selected Reading","Comprehensive synthesis of resident-centered long-term care nursing, safety, communication, chronic illness, dementia, restorative care, end-of-life care, and professional accountability.

Reading: Comprehensive review of selected course chapters from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Synthesize long-term care priorities into safe practical nursing judgment.
- Use case-based reasoning to prioritize resident needs, reporting, documentation, and team communication.
- Describe the professional habits needed for safe long-term care practice."
"Week 12: Final Synthesis: Safe, Respectful Long-Term Care Nursing","[PN103 2026] Week 12 Discussion: Professional Commitment to Long-Term Care","Canvas item type: Discussion.

Prompt: Identify one professional habit you will carry into long-term care clinical practice. Explain how it protects residents and strengthens the health care team.

Due: 2026-09-09 at 11:59 PM."
"Week 12: Final Synthesis: Safe, Respectful Long-Term Care Nursing","[PN103 2026] Final Comprehensive Exam - Long-Term Care Nursing","Canvas item type: Exam.

Cumulative final exam covering resident rights, safety, infection prevention, basic care, chronic conditions, dementia, restorative care, emergencies, end-of-life care, and professional accountability.

Due: 2026-09-09 at 11:59 PM."
"PN103 2026 - Final Review and Course Completion","Comprehensive Final Review","Review resident rights, communication, nursing process, culture, aging, safety, falls, restraints, infection prevention, mobility, ADLs, nutrition, elimination, oxygen needs, vital signs, wounds, pressure injuries, chronic disorders, mental health, dementia, developmental disabilities, restorative care, assisted living, emergencies, and end-of-life care."
"PN103 2026 - Final Review and Course Completion","[PN103 2026] Long-Term Care Participation and Professionalism","Canvas item type: Assignment. Instructor evaluates preparation, participation, professional conduct, respectful communication, punctuality, and engagement with weekly long-term care discussions and case work."
